"status","id","nome","categoria","subcategoria","subcategoria2","peso","altura","largura","comprimento","preco","destaque","descricao","imagens","nome_variacao_1","variacoes_1","nome_variacao_2","variacoes_2","caminho_origem","pasta_produto"
"ativo","1-1-1-001","Saboneteira Splash","casa-organizacao","Banheiro","Saboneteiras","66.39","4.46","10.98","14.18","10.9","","Tamanho aproximado: 14,2 cm x 11 cm x 4,5 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-001-saboneteira-splash/1.png","Cor","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","","","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\001 SABONETEIRA SPLASH","1-1-1-001-saboneteira-splash"
"ativo","1-1-1-002","Saboneteira Oval Lines","casa-organizacao","Banheiro","Saboneteiras","85.19","1.7","9.2","12.7","12.9","","Tamanho aproximado: 12,7 cm x 9,2 cm x 1,7 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-002-saboneteira-oval-lines/1.png|produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-002-saboneteira-oval-lines/2.png|produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-002-saboneteira-oval-lines/3.png|produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-002-saboneteira-oval-lines/4.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","Cor da Grade","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\002 SABONETEIRA OVAL LINE","1-1-1-002-saboneteira-oval-lines"
"ativo","1-1-1-003","Saboneteira Oval Organic","casa-organizacao","Banheiro","Saboneteiras","45.52","2","9","12","9.9","","Tamanho aproximado: 12 cm x 9 cm x 2 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-003-saboneteira-oval-organic/1.png|produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-003-saboneteira-oval-organic/2.png|produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-003-saboneteira-oval-organic/3.png|produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-003-saboneteira-oval-organic/4.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","Cor da Grade","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\003 SABONETEIRA OVAL ORGANIC","1-1-1-003-saboneteira-oval-organic"
"ativo","1-1-1-004","Saboneteira Retangular Palm Leaves","casa-organizacao","Banheiro","Saboneteiras","62.2","1.9","7.8","12.5","9.9","","Tamanho aproximado: 12,5 cm x 7,8 cm x 1,9 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-004-saboneteira-retangular-palm-leaves/1.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","Cor da Grade","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\004 SABONETEIRA RETANGULAR PALM LEAVES","1-1-1-004-saboneteira-retangular-palm-leaves"
"ativo","1-1-1-005","Saboneteira Retangular Hexa Pattern","casa-organizacao","Banheiro","Saboneteiras","54.47","1.9","7.8","12.5","9.9","","Tamanho aproximado: 12,5 cm x 7,8 cm x 1,9 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-005-saboneteira-retangular-hexa-pattern/1.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","Cor da Grade","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\005 SABONETEIRA RETANGULAR HEXA PATTERN","1-1-1-005-saboneteira-retangular-hexa-pattern"
"ativo","1-1-1-006","Saboneteira Retangular Herringbone","casa-organizacao","Banheiro","Saboneteiras","53.14","1.9","7.8","12.5","9.9","","Tamanho aproximado: 12,5 cm x 7,8 cm x 1,9 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-006-saboneteira-retangular-herringbone/1.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","Cor da Grade","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\006 SABONETEIRA RETANGULAR HERRINGBONE","1-1-1-006-saboneteira-retangular-herringbone"
"ativo","1-1-1-007","Saboneteira Retangular Bubble Grid","casa-organizacao","Banheiro","Saboneteiras","53.09","1.9","7.8","12.5","9.9","","Tamanho aproximado: 12,5 cm x 7,8 cm x 1,9 cm","produtos/imagens/casa-organizacao/banheiro/saboneteiras/1-1-1-007-saboneteira-retangular-bubble-grid/1.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","Cor da Grade","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\1 SABONETEIRAS\007 SABONETEIRA RETANGULAR BUBBLE GRID","1-1-1-007-saboneteira-retangular-bubble-grid"
"ativo","1-1-2-001","Suporte para Papel Higiênico Loft","casa-organizacao","Banheiro","Suportes para Papel","146.93","11.23","13.12","14.7","20.9","","Tamanho aproximado: 14,7 cm x 13,2 cm x 11,3 cm","produtos/imagens/casa-organizacao/banheiro/suportes-para-papel/1-1-2-001-suporte-para-papel-higienico-loft/1.png","","","","","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\2 SUPORTES PARA PAPEL\001 SUPORTE PARA PAPEL HIGIÊNICO LOFT","1-1-2-001-suporte-para-papel-higienico-loft"
"ativo","1-1-2-002","Suporte para Papel Shaun","casa-organizacao","Banheiro","Suportes para Papel","80.99","10","4","6","13.9","","Tamanho aproximado: 6 cm x 4 cm x 10 cm","produtos/imagens/casa-organizacao/banheiro/suportes-para-papel/1-1-2-002-suporte-para-papel-shaun/1.png|produtos/imagens/casa-organizacao/banheiro/suportes-para-papel/1-1-2-002-suporte-para-papel-shaun/2.png","","","","","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\2 SUPORTES PARA PAPEL\002 SUPORTE PARA PAPEL SHAUN","1-1-2-002-suporte-para-papel-shaun"
"ativo","1-1-3-001","Suporte para Barbeador OneBlade","casa-organizacao","Banheiro","Suportes para Barbeador","43.12","6.72","6.22","9.5","9.9","","Tamanho aproximado: 9,5 cm x 6,3 cm x 6,8 cm","produtos/imagens/casa-organizacao/banheiro/suportes-para-barbeador/1-1-3-001-suporte-para-barbeador-oneblade/1.png|produtos/imagens/casa-organizacao/banheiro/suportes-para-barbeador/1-1-3-001-suporte-para-barbeador-oneblade/2.png|produtos/imagens/casa-organizacao/banheiro/suportes-para-barbeador/1-1-3-001-suporte-para-barbeador-oneblade/3.png|produtos/imagens/casa-organizacao/banheiro/suportes-para-barbeador/1-1-3-001-suporte-para-barbeador-oneblade/4.png","Cor","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo","","","1 CASA & ORGANIZAÇÃO\1 BANHEIRO\3 SUPORTES PARA BARBEADOR\001 SUPORTE PARA BARBEADOR ONEBLADE (CARREGADOR)","1-1-3-001-suporte-para-barbeador-oneblade"
